junctionid,vehicleid,turn,priority,arrivaltime,departuretime,delay
MaryRosslandJuction,veh_474,right,1,334000000000,728000000000,394.0
MaryRosslandJuction,veh_476,left,1,340000000000,404000000000,64.0
MaryRosslandJuction,veh_478,right,1,179000000000,350000000000,171.0
MaryRosslandJuction,veh_482,right,1,844000000000,1215000000000,371.0
MaryRosslandJuction,veh_486,straight,1,1005000000000,1294000000000,289.0
MaryRosslandJuction,veh_4868,right,1,2895000000000,2943000000000,48.0
MaryRosslandJuction,veh_490,left,1,332000000000,1519000000000,1187.0
MaryRosslandJuction,veh_493,straight,1,339000000000,692000000000,353.0
MaryRosslandJuction,veh_495,right,1,377000000000,717000000000,340.0
MaryRosslandJuction,veh_498,left,1,68000000000,386000000000,318.0
MaryRosslandJuction,veh_499,right,1,69000000000,231000000000,162.0
MaryRosslandJuction,veh_5,straight,1,294000000000,566000000000,272.0
MaryRosslandJuction,veh_50,left,1,6000000000,50000000000,44.0
MaryRosslandJuction,veh_500,left,1,70000000000,394000000000,324.0
MaryRosslandJuction,veh_501,straight,1,71000000000,343000000000,272.0
MaryRosslandJuction,veh_502,straight,1,98000000000,568000000000,470.0
MaryRosslandJuction,veh_503,right,1,100000000000,464000000000,364.0
MaryRosslandJuction,veh_504,left,1,101000000000,619000000000,518.0
MaryRosslandJuction,veh_505,straight,1,104000000000,574000000000,470.0
MaryRosslandJuction,veh_506,right,1,342000000000,734000000000,392.0
MaryRosslandJuction,veh_508,left,1,370000000000,432000000000,62.0
MaryRosslandJuction,veh_51,right,1,7000000000,77000000000,70.0
MaryRosslandJuction,veh_514,right,1,845000000000,1220000000000,375.0
MaryRosslandJuction,veh_518,straight,1,1007000000000,1683000000000,676.0
MaryRosslandJuction,veh_52,left,1,8000000000,52000000000,44.0
MaryRosslandJuction,veh_522,left,1,339000000000,1549000000000,1210.0
MaryRosslandJuction,veh_525,straight,1,402000000000,694000000000,292.0
MaryRosslandJuction,veh_527,right,1,383000000000,720000000000,337.0
MaryRosslandJuction,veh_53,straight,1,9000000000,141000000000,132.0
